         ps       /tb_2/rst      /tb_2/countOut       
          delta     /tb_2/clk                         
                      /tb_2/upperBound                
    5400000  +1           0 0 00001011 00000100 
    5450000  +1           0 1 00001011 00000100 
    5450000  +3           0 1 00001011 00000101 
    5500000  +1           0 0 00001011 00000101 
    5550000  +1           0 1 00001011 00000101 
    5550000  +3           0 1 00001011 00000000 
    5600000  +1           0 0 00001011 00000000 
    5650000  +1           0 1 00001011 00000000 
    5650000  +3           0 1 00001011 00000001 
    5700000  +1           0 0 00001011 00000001 
    5750000  +1           0 1 00001011 00000001 
    5750000  +3           0 1 00001011 00000010 
    5800000  +1           0 0 00001011 00000010 
    5850000  +1           0 1 00001011 00000010 
    5850000  +3           0 1 00001011 00000011 
    5900000  +1           0 0 00001011 00000011 
    5950000  +1           0 1 00001011 00000011 
    5950000  +3           0 1 00001011 00000100 
    6000000  +1           0 0 00001011 00000100 
    6050000  +1           0 1 00001011 00000100 
    6050000  +3           0 1 00001011 00000101 
    6100000  +1           0 0 00001011 00000101 
    6150000  +1           0 1 00001011 00000101 
    6150000  +3           0 1 00001011 00000110 
    6200000  +1           0 0 00001011 00000110 
    6250000  +1           0 1 00001011 00000110 
    6250000  +3           0 1 00001011 00000000 
    6300000  +1           0 0 00001011 00000000 
    6350000  +1           0 1 00001011 00000000 
    6350000  +3           0 1 00001011 00000001 
    6400000  +1           0 0 00001011 00000001 
    6450000  +1           0 1 00001011 00000001 
    6450000  +3           0 1 00001011 00000010 
    6500000  +1           0 0 00001011 00000010 
    6550000  +1           0 1 00001011 00000010 
    6550000  +3           0 1 00001011 00000011 
    6600000  +1           0 0 00001011 00000011 
    6650000  +1           0 1 00001011 00000011 
    6650000  +3           0 1 00001011 00000100 
    6700000  +1           0 0 00001011 00000100 
    6750000  +1           0 1 00001011 00000100 
    6750000  +3           0 1 00001011 00000101 
    6800000  +1           0 0 00001011 00000101 
    6850000  +1           0 1 00001011 00000101 
    6850000  +3           0 1 00001011 00000110 
    6900000  +1           0 0 00001011 00000110 
    6950000  +1           0 1 00001011 00000110 
    6950000  +3           0 1 00001011 00000111 
    7000000  +1           0 0 00001011 00000111 
    7050000  +1           0 1 00001011 00000111 
    7050000  +3           0 1 00001011 00000000 
    7100000  +1           0 0 00001011 00000000 
    7150000  +1           0 1 00001011 00000000 
    7150000  +3           0 1 00001011 00000001 
    7200000  +1           0 0 00001011 00000001 
    7250000  +1           0 1 00001011 00000001 
    7250000  +3           0 1 00001011 00000010 
    7300000  +1           0 0 00001011 00000010 
    7350000  +1           0 1 00001011 00000010 
    7350000  +3           0 1 00001011 00000011 
    7400000  +1           0 0 00001011 00000011 
    7450000  +1           0 1 00001011 00000011 
    7450000  +3           0 1 00001011 00000100 
    7500000  +1           0 0 00001011 00000100 
    7550000  +1           0 1 00001011 00000100 
    7550000  +3           0 1 00001011 00000101 
    7600000  +1           0 0 00001011 00000101 
    7650000  +1           0 1 00001011 00000101 
    7650000  +3           0 1 00001011 00000110 
    7700000  +1           0 0 00001011 00000110 
    7750000  +1           0 1 00001011 00000110 
    7750000  +3           0 1 00001011 00000111 
    7800000  +1           0 0 00001011 00000111 
    7850000  +1           0 1 00001011 00000111 
    7850000  +3           0 1 00001011 00001000 
    7900000  +1           0 0 00001011 00001000 
    7950000  +1           0 1 00001011 00001000 
    7950000  +3           0 1 00001011 00000000 
    8000000  +1           0 0 00001011 00000000 
    8050000  +1           0 1 00001011 00000000 
    8050000  +3           0 1 00001011 00000001 
    8100000  +1           0 0 00001011 00000001 
